Item Number,Item Name,Item Description,Size,Regular Price,UPC,Department Name,Qty 1,On Order Qty
3016,ORS DAILY STYLING LOTION,,,1360,0632169121809,BEAUTY SUPPLIES,5,0
3034,DOMINICAN ONE YAKI ST NAT BLACK,,18'',2000,0828179589597,BEAUTY SUPPLIES,-48,0
3061,SMOKKIN HAIR GEL WAX BLUE,,,900,,BEAUTY SUPPLIES,0,0
2661,JML LOCKING FIRM WAX,,,1300,0714924294017,BEAUTY SUPPLIES,2,0
2771,3X PASSION SPRING TWIST,,8,2200,0828179172850,BEAUTY SUPPLIES,-6,0
2804,AP OLIVE MIRACLE LEAVE IN CONDI,,,1150,0802535434158,BEAUTY SUPPLIES,1,0
2819,VAGISIL CUCUMBER MAGNOLIA,,,1400,0011509060396,BEAUTY SUPPLIES,9,0
2848,"HH CERAMIC CURLING IRON 3/4""",,,3000,0705372058641,BEAUTY SUPPLIES,0,0
2875,INVISIBLE HD WIG CAP,,,500,,BEAUTY SUPPLIES,-162,0
2902,SILICONE LIFT NIPPLE COVER,,,1100,0719109000155,BEAUTY SUPPLIES,9,0
2929,MAYDE WIG BONBON,,,4500,0650270504755,BEAUTY SUPPLIES,1,0
2942,DUO INDIVIDUAL LASH GLUE CLEAR,,,1200,0073930568117,BEAUTY SUPPLIES,-2,0
2969,TREE HUT VANILLA,,,2400,0075371002946,BEAUTY SUPPLIES,-4,0
3017,ORS SS LEAVE-IN CONDITIONER,,,1360,0632169210206,BEAUTY SUPPLIES,4,0
3035,XTREME GEL 15.87OZ,,,700,0871217007317,BEAUTY SUPPLIES,0,0
3062,SMOKKIN HAIR GEL WAX BLACK,,,900,,BEAUTY SUPPLIES,0,0
2772,3X SPRINGY WATER WAVE T1BBG,,14,2100,0828179194494,BEAUTY SUPPLIES,0,0
2805,PALMERS ANTI ACNE MED BAR,,,600,0010181073861,BEAUTY SUPPLIES,1,0
2820,AMMENS POWDER,,,800,0789849940400,BEAUTY SUPPLIES,4,0
2849,"TYCHE CRIMPING IRON 1 1/2""",,,4800,0607203032823,BEAUTY SUPPLIES,2,0
2876,CERAVE FOAMING FACIAL CLEANSER,,,2800,3606000534919,BEAUTY SUPPLIES,-6,0
2903,500 PCS JAR RUBBER BAND,,,350,0718128000214,BEAUTY SUPPLIES,6,0
2930,ARLOS BEARD OIL W/COCONUT,,,900,0021959910066,BEAUTY SUPPLIES,2,0
2943,STARDEL LASHES,,,600,0846083808436,BEAUTY SUPPLIES,1,0
2970,DR TEAL'S CANNABIS SATIVA,,,2400,0810021207292,BEAUTY SUPPLIES,2,0
2996,HARLEM KIMA BRAIDS 2X DE LOCS 2,,"36""",3100,0655302355787,BEAUTY SUPPLIES,0,0
3018,CON DRY DEFENSE CONDIT,,,1250,0075724428010,BEAUTY SUPPLIES,8,0
3036,HEAD PIECE,,,1500,,BEAUTY SUPPLIES,0,0
3063,SMOKKIN HAIR GEL WAX WHITE,,,900,8682678303342,BEAUTY SUPPLIES,1,0
3086,NIPPLE PASTIE,,,1000,,BEAUTY SUPPLIES,-3,0
2773,3X SPRINGY WATER WAVE #1B,,14,2100,0828179194449,BEAUTY SUPPLIES,0,0
2806,VASELINE ORI PETROLEUM JELLY,,,300,0000600143992,BEAUTY SUPPLIES,6,0
2821,RIGHT GUARD ACTIVE,,,900,5012583204749,BEAUTY SUPPLIES,0,0
2850,"TYCHE GOLD FLAT IRON 1""",,,3900,0607203018131,BEAUTY SUPPLIES,2,0
2877,JANET CHERRY D/S,B,,2400,0884593095311,BEAUTY SUPPLIES,-3,0
2904,MAGIC MATTE TATTOO EYELINER,,,700,0636227242222,BEAUTY SUPPLIES,4,0
2931,ARLOS BEAR OIL W/TEA TREE OIL,,,900,0021959910189,BEAUTY SUPPLIES,2,0
2944,AP REGULAR TOUCH UP,,,900,0802535400016,BEAUTY SUPPLIES,3,0
2971,MAGIC SLANT TWEEZER 5071,,,100,0636227350712,BEAUTY SUPPLIES,61,0
2997,BRAZILLIAN FRENCH TWIST 12S NAT,,,4700,,BEAUTY SUPPLIES,6,0
3019,SUMMER'S EVE MORNING PARADISE,,,1250,0041608001426,BEAUTY SUPPLIES,2,0
3037,HEAD AND SHOUULDERS MEN,,,1200,4902430857345,BEAUTY SUPPLIES,5,0
3064,SMOKKIN HAIR GEL WAX PINK,,,900,8682678301768,BEAUTY SUPPLIES,0,0
3087,"4X4 STRAIGHT BLUNT CUT WIG 14""",,,23000,,BUNDLES,0,0
2774,3X SPRINGY BOHEMIAN #1B,,24,2900,0828179174908,BEAUTY SUPPLIES,-2,0
2807,KNOBS,,,400,,BEAUTY SUPPLIES,-5,0
2822,RIGHT GUARD INVISIBLE,,,900,5012583200758,BEAUTY SUPPLIES,2,0
2851,ANNIE ROUND TOP PADDLE BRUSH,,,900,0705372023731,BEAUTY SUPPLIES,-2,0
2878,PINEAPPLE 10S,,,2500,0803868447860,BEAUTY SUPPLIES,-4,0
2905,MAGIC EYEBROW MARKER,,,700,0636227241416,BEAUTY SUPPLIES,0,0
2932,ARLOS BEARD OIL W/VITAMIN E,,,900,0021959910196,BEAUTY SUPPLIES,2,0
2945,AP SUPER TOUCH UP,,,900,0802535401013,BEAUTY SUPPLIES,2,0
2972,"DEEP CURLY FRONTAL WIG 20""",,20,36000,,BUNDLES,2,0
2998,BRAZILLIAN DEEP 10S #NAT,,,3300,0828179159950,BEAUTY SUPPLIES,1,0
3020,SUMMER'S EVE DELICATE BLOSSOM,,,1250,0041608001389,BEAUTY SUPPLIES,1,0
3038,SOPRANO FRENCH TWIST 12,,,4700,0828179164978,BEAUTY SUPPLIES,4,0
3065,"DESTINY YAKI STRAIGHT 18""",,,2500,0828179143645,BEAUTY SUPPLIES,0,0
3088,"HD 5X5 STRAIGHT CLOSURE 14""",,"14""",15000,,BEAUTY SUPPLIES,0,0
2775,3X SPRINGY BOHEMIAN T1B30,,24,2900,0828179175141,BEAUTY SUPPLIES,2897,0
2823,PALMER'S STRETCH MARK CREAM,,,1390,0010181040351,BEAUTY SUPPLIES,1,0
2852,MAGIC CLUB BOAR BRUSH,,,450,0636227177012,BEAUTY SUPPLIES,-1,0
2879,"CONAIR 1"" CURLING IRON",,,4500,0074108376275,BEAUTY SUPPLIES,0,0
2906,NIPPLE SILICONE PAD 38,,,800,0892600140824,BEAUTY SUPPLIES,11,0
2933,CON STYLING SNOT,,,1200,0075724217867,BEAUTY SUPPLIES,3,0
2946,SAMBA WRAP PONYTAIL,,,3000,0655302358351,BEAUTY SUPPLIES,0,0
2973,DEEP CURLY FRONTAL  WIG 22'',,22,44000,,BUNDLES,2,0
2999,"3X XPRESSION PRE-STRE 58"" 1B/27",,"58""",1100,0803868499975,BEAUTY SUPPLIES,-1,0
3021,AUNT JACKIE'S FRIZZ REBEL,,,1200,0034285690069,BEAUTY SUPPLIES,10,0
3039,NAIR BODY CREAM- BABY OIL,,,1300,0022600223191,BEAUTY SUPPLIES,12,0
3066,DOMINICAN ONE YAKI STR NAT BL,,24,2500,0828179589580,BEAUTY SUPPLIES,-53,0
3089,"HD 5X5 STRAIGHT CLOSURE 16""",,"16""",16000,,BEAUTY SUPPLIES,0,0
3108,"1.5X4 GINGER BOB 8""",,"8""",18000,,BEAUTY SUPPLIES,-1,0
2776,3X BUTTERFLY LOCS 10/12/14 1B27,,,3400,0884593282001,BEAUTY SUPPLIES,3,0
2824,ELF PUTTY BLUSH (81540),,,1650,0609332815407,BEAUTY SUPPLIES,1,0
2853,ANNIE ROUND PADDLE BRUSH,,,700,0705372022499,BEAUTY SUPPLIES,-2,0
2880,"LOOKS D/BROWN 1 1//2"" MELT BAND",,,600,0840096924411,BEAUTY SUPPLIES,3,0
2907,FASHION TIARA,,,2000,0692600151123,ACCESSORIES,1,0
2947,"BODY WAVE FRONTAL WIG 28""",,28,60000,,BUNDLES,1,0
2974,DEEP CURLY FRONTAL  WIG 18'',,18,28000,,BUNDLES,0,0
3000,"3X XPRESSION PRE-STR 58"" 1B",,"58""",1100,0803868495670,BEAUTY SUPPLIES,-17,0
3022,CM DRY DEFENSE SHAMPOO,,,1250,0075724428003,BEAUTY SUPPLIES,8,0
3040,NAIR BODY CREAM- COCOA BUTTER,,,1200,0022600223399,BEAUTY SUPPLIES,5,0
3067,ASHLEY LEE HIGH SHINE POLISH,,,400,,BEAUTY SUPPLIES,-18,0
3090,"HD 5X5 STRAIGHT CHOSURE 18""",,"18""",17000,,BEAUTY SUPPLIES,1,0
3109,"5X5 BLUNT CUT BOB 10""",,"10""",21000,,BEAUTY SUPPLIES,3,0
3127,FIT ME POWDER #320,,,1950,0041554488357,BEAUTY SUPPLIES,0,0
2777,SPRINGY AFRO TWIST 3X #1B,,24,2250,0827298837800,BEAUTY SUPPLIES,0,0
2825,ELF PUTTY BLUSH- TAHITI,,,1650,0609332816213,BEAUTY SUPPLIES,0,0
2854,AJ FLAXEED SMOOTHING GEL,,,1300,0034285672027,BEAUTY SUPPLIES,5,0
2881,"CONAIR 1 1/4"" CURLING IRON",,,4500,0074108376282,BEAUTY SUPPLIES,0,0
2908,FASHION TIARA 3GD,,,1800,0892600143733,BEAUTY SUPPLIES,1,0
